estacao,municipio,latitude,longitude,inclinacao,orientacao,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez,media,delta
Maceio - 01,Maceio,"9,601","35,749",0,Norte,"6,01","6,01","5,59","5,04","4,26","4,02","4,16","4,78","5,52","5,89","6,29","6,32","5,35","2,3"
,,,,10,Norte,"5,66","5,81","5,92","5,24","4,56","4,37","4,49","5,04","5,6","5,76","5,96","5,9","5,36","1,59"
