estacao,municipio,latitude,longitude,inclinacao,orientacao,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez,media,delta
Maceio - 02,Maceio,"9,501","35,749",0,N,"5,94","5,95","5,91","5,93","4,22","3,95","4,07","4,66","5,43","5,76","6,2","6,22","5,28","2,27"
,,,,10,N,"5,6","5,75","5,91","5,23","4,51","4,29","4,39","4,9","5,51","5,63","5,88","5,81","5,28","1,62"
