estacao,municipio,latitude,longitude,inclinacao,orientacao,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez,media,delta
Maceio - 03,Satuba,"9,601","35,849",0,N,"6,05","6,02","5,95","5,09","4,31","4,01","4,14","4,76","5,52","5,88","6,31","6,31","5,36","2,3"
,,,,10,N,"5,7","5,82","5,95","5,29","4,61","4,36","4,47","5,01","5,6","5,74","5,97","5,89","5,37","1,62"
